Storm ID,Cumulative Storm Time (hours),Intensity Profile (mm/hr)
Ex_Tips_2024_06_30,8.25,0.06
Ex_Tips_2024_06_30,8.2667,0.06
Ex_Tips_2024_06_30,8.2833,0.06
Ex_Tips_2024_06_30,8.3,0.06
Ex_Tips_2024_06_30,8.3167,0.06
Ex_Tips_2024_06_30,8.3333,0.06
Ex_Tips_2024_06_30,8.35,0.06
Ex_Tips_2024_06_30,8.3667,0.06
Ex_Tips_2024_06_30,8.3833,0.06
Ex_Tips_2024_06_30,8.4,0.06
Ex_Tips_2024_06_30,8.4167,0.06
Ex_Tips_2024_06_30,8.4333,0.06
Ex_Tips_2024_06_30,8.45,0.06
Ex_Tips_2024_06_30,8.4667,0.06
Ex_Tips_2024_06_30,8.4833,0.06
Ex_Tips_2024_06_30,8.5,0.06
Ex_Tips_2024_06_30,8.5167,0.06
Ex_Tips_2024_06_30,8.5333,0.06
Ex_Tips_2024_06_30,8.55,0.06
Ex_Tips_2024_06_30,8.5667,0.06
Ex_Tips_2024_06_30,8.5833,0.06
Ex_Tips_2024_06_30,8.6,0.06
Ex_Tips_2024_06_30,8.6167,0.06
Ex_Tips_2024_06_30,8.6333,0.06
Ex_Tips_2024_06_30,8.65,0.06
Ex_Tips_2024_06_30,8.6667,0.06
Ex_Tips_2024_06_30,8.6833,0.06
